DBA,BORO,ZIPCODE,Latitude,Longitude
ISTANBUL KEBAB NYC CORP.,Manhattan,10019,40.76259161,-73.98958916
MR KEKE RAMEN,Manhattan,10003,40.72907263,-73.99023304
GNOCCHI HOUSE NEW YORK INC.,Manhattan,10021,40.76953014,-73.95474566
SESAMO,Manhattan,10019,40.76583053,-73.9909352
SEAHORSE,Manhattan,10003,40.73663709,-73.98894371
YUMYUM 168 INC,Manhattan,10028,40.77607296,-73.95306588
TACUBA,Manhattan,10019,40.76549535,-73.98746601
SHOSH,Manhattan,10014,40.73544364,-74.00045466
STARBUCKS,Manhattan,10022,40.75594432,-73.96465578
LITTLE STREET LOUNGE,Manhattan,10031,40.8239452,-73.94916224
AT 43 BAYARD,Manhattan,10013,40.71511587,-73.99708171
NAYA,Manhattan,10019,40.76074583,-73.97981783
MR WU DIM SUM,Manhattan,10019,40.76074642,-73.98352505
CARTA WINE BAR,Manhattan,10014,40.72964938,-74.00384981
787 COFFEE,Manhattan,10004,40.70360382,-74.01093177
KLOUD ROOFTOP 1 INC,Manhattan,10016,40.74426411,-73.98337396
MANERO'S PIZZA,Manhattan,10013,40.71762461,-73.99826844
PYLOS,Manhattan,10009,40.72620913,-73.98394492
BURGER KING,Manhattan,10040,40.86400319,-73.92627863
CAP'T LOUI SEAFOOD BOIL,Manhattan,10027,40.80669155,-73.9429118
FEDERAL GOURMET DELI,Manhattan,10007,40.71599139,-74.00478692
CGTENANT LLC,Manhattan,10003,40.73910196,-73.98977327
BB36609BB LLC,Manhattan,10036,40.76052481,-73.98969056
BANH MI CO UT 2 INC,Manhattan,10002,40.71795647,-73.99207807
OOTOYA,Manhattan,10003,40.73323391,-73.99314791
FEI MA,Manhattan,10009,40.72500423,-73.98430599
NYC HAND TOSSED PIZZA INC.,Manhattan,10036,40.75952315,-73.99184209
CARIDAD RESTAURANT,Manhattan,10031,40.82619927,-73.95062391
PIKINE AFRICAN RESTAURANT,Manhattan,10026,40.80394363,-73.95423453
CRAVE FISH BAR,Manhattan,10024,40.78416915,-73.9775863
VINYL BEER LLC,Manhattan,10029,40.78595589,-73.95084526
KERNEL,Manhattan,10011,40.73670889,-73.99532705
VIRGIN HOTEL 38TH FLOOR KITCHEN AND BAR,Manhattan,10001,40.74662798,-73.98849092
THEORY LOUNGE LLC,Manhattan,10018,40.75514531,-73.99266198
THE LEXINGTON SOCIAL,Manhattan,10029,40.79040645,-73.94762783
MOJO OMAKASE,Manhattan,10011,40.74491031,-74.00248653
PHO JOHN ST INC,Manhattan,10038,40.70923359,-74.00800024
INTERNATIONAL BURGERS,Manhattan,10017,40.75153508,-73.97028496
SMITHEREENS,Manhattan,10009,40.72783405,-73.98407442
OASIS JIMMA JUICE BAR,Manhattan,10017,40.75229211,-73.96830673
WHITE NOISE COFFEE 2 CORP,Manhattan,10019,40.77052414,-73.99194544
